"sig_classe_proces","nom_ministro","total_decs"
"RE","MIN. NELSON JOBIM","23560"
"RE","MIN. MOREIRA ALVES","10815"
"RE","MIN. MENEZES DIREITO","4804"
"RE","MIN. MAURÍCIO CORRÊA","18539"
"RE","MIN. MARCO AURÉLIO","61178"
"RE","MIN. LUIZ FUX","662"
"RE","MIN. JOAQUIM BARBOSA","29545"
"RE","MIN. ILMAR GALVÃO","14498"
"RE","MIN. GILMAR MENDES","31318"
"RE","MIN. FRANCISCO REZEK","443"
"RE","MIN. EROS GRAU","30841"
"RE","MIN. ELLEN GRACIE","28234"
"RE","MIN. DIAS TOFFOLI","4225"
"RE","MIN. CÁRMEN LÚCIA","24013"
"RE","MIN. CEZAR PELUSO","27980"
"RE","MIN. CELSO DE MELLO","45534"
"RE","MIN. CARLOS VELLOSO","24758"
"RE","MIN. AYRES BRITTO","33163"
"RHC","MINISTRO PRESIDENTE","17"
"RHC","MIN. SYDNEY SANCHES","14"
"RHC","MIN. SEPÚLVEDA PERTENCE","79"
"RHC","MIN. RICARDO LEWANDOWSKI","90"
"RHC","MIN. OCTAVIO GALLOTTI","6"
"RHC","MIN. NÉRI DA SILVEIRA","12"
"RHC","MIN. NELSON JOBIM","37"
"RHC","MIN. MOREIRA ALVES","8"
"RHC","MIN. MENEZES DIREITO","14"
"RHC","MIN. MAURÍCIO CORRÊA","31"
"RHC","MIN. MARCO AURÉLIO","157"
"RHC","MIN. LUIZ FUX","7"
"RHC","MIN. JOAQUIM BARBOSA","117"
"RHC","MIN. ILMAR GALVÃO","9"
"RHC","MIN. GILMAR MENDES","81"
"RHC","MIN. FRANCISCO REZEK","1"
"RHC","MIN. EROS GRAU","103"
"RHC","MIN. ELLEN GRACIE","70"
"RHC","MIN. DIAS TOFFOLI","14"
"RHC","MIN. CÁRMEN LÚCIA","113"
"RHC","MIN. CEZAR PELUSO","145"
"RHC","MIN. CELSO DE MELLO","96"
"RHC","MIN. CARLOS VELLOSO","76"
"RHC","MIN. AYRES BRITTO","83"
"RMI","MINISTRO PRESIDENTE","1"
"RMI","MIN. GILMAR MENDES","1"
"RMI","MIN. CÁRMEN LÚCIA","2"
